SHOP_URL,GOODS_NAME,GOODS_URL,SHOP_NAME,COMPANY_NAME,COMPANY_ADDRESS,GOODS_PRICE
//rate.taobao.com/user-rate-UvGv4MGv0vCH0MNTT.htm,2017新款正品薄款羽绒服女轻薄短款连帽韩版修身轻便大码冬装外套,http://detail.tmall.com/item.htm?id=562542177899&skuId=4611686580969565803&user_id=3387342144&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,欧靓依旗舰店,"浙江,  嘉兴",,129.00
//rate.taobao.com/user-rate-UvFgWvGcWMmQYMWTT.htm,2017新款正品薄款羽绒服女轻薄短款连帽韩版修身轻便大码冬装外套,http://detail.tmall.com/item.htm?id=561492825342&skuId=4611686579920213246&user_id=1803704417&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,简卡璐旗舰店,,"浙江,  杭州",79.00
//rate.taobao.com/user-rate-UvCIuvGIGOmI4vgTT.htm,金丝绒羽绒棉服女中长款2017新款韩版面包棉袄过膝ins棉衣冬装潮,http://detail.tmall.com/item.htm?id=563095170080&skuId=3544115249861&user_id=2273238282&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,夏梵尼旗舰店,,"浙江,  杭州",258.00
//rate.taobao.com/user-rate-UvCN4MCILMGIGONTT.htm,韩版半高领毛衣套头宽松女潮2017新款时尚秋冬长袖打底针织衫上衣,http://detail.tmall.com/item.htm?id=561478774612&skuId=3518062637760&user_id=2086267238&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,索尔莉旗舰店,,"江苏省,  苏州市",98.00
//rate.taobao.com/user-rate-UvCH4vCgWvmgWMgTT.htm,红色圣诞毛衣女外套开衫韩版中长款宽松针织衫冬2017春装新款加厚,http://detail.tmall.com/item.htm?id=563358443290&skuId=3712884211992&user_id=2182800806&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,韩优尚旗舰店,,"浙江省,  嘉兴市",89.00
//rate.taobao.com/user-rate-UvGN4vFIbOFc0MWTT.htm,2017秋冬季新款韩版加厚翻高领短款套头毛衣女士时尚宽松针织衫潮,http://detail.tmall.com/item.htm?id=562952923733&skuId=3539466352728&user_id=3081259747&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,茵姿妙旗舰店,,,79.00
//rate.taobao.com/user-rate-UvFxSMFNGMGx0vgTT.htm,毛呢外套女中长款加厚大衣冬季韩版2017新款韩国学生宽松呢子清仓,http://detail.tmall.com/item.htm?id=563894241765&skuId=3557775645551&user_id=1695037642&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,圣多名妮旗舰店,,"广东省,  深圳市",69.90
//rate.taobao.com/user-rate-UvCxGOmHuOF8u.htm,韩都衣舍2017冬新款女装韩版宽松连帽加厚套头加绒潮卫衣IG6431僥,http://detail.tmall.com/item.htm?id=536416844774&skuId=3301315524614&user_id=263817957&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,韩都衣舍旗舰店,,"山东,  济南",152.00
//rate.taobao.com/user-rate-UvFkLvCH4vCHbOQTT.htm,韩版秋冬季长袖连帽卫衣女2017新款学生宽松加绒加厚外套薄款上衣,http://detail.tmall.com/item.htm?id=558046718150&skuId=3510944252664&user_id=1962182159&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,端木紫旗舰店,,"广东,  广州",69.00
//rate.taobao.com/user-rate-UvGNuMmvSvGN4vQTT.htm,半高领刺绣毛衣女套头宽松韩版秋冬季打底衫2017新款潮针织衫长袖,http://detail.tmall.com/item.htm?id=562702227850&skuId=3535300856207&user_id=3074393081&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,倾吻旗舰店,,,89.00
//rate.taobao.com/user-rate-UvGHLvmvSOFNbvWTT.htm,ins棉服女短款原宿棉袄女2017新款韩版宽松面包服chic棉衣外套冬,http://detail.tmall.com/item.htm?id=563253916798&skuId=3714267142417&user_id=3160399053&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,梦印旗舰店,,,159.00
//rate.taobao.com/user-rate-UvFkbMFHyvm8yONTT.htm,驼色赫本呢子大衣女中长款韩国2017新款学生加厚chic毛呢外套韩版,http://detail.tmall.com/item.htm?id=562455262184&skuId=3738814690640&user_id=1955120528&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,梦蝶婷服饰旗舰店,,"浙江,  嘉兴",248.00
//rate.taobao.com/user-rate-UvFcLMCN0MGkWMWTT.htm,黑色高领毛衣女冬套头加厚宽松韩版学生时尚潮春秋2017新款慵懒风,http://detail.tmall.com/item.htm?id=563140615755&skuId=3542475904120&user_id=1766047907&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,戚米旗舰店,,"浙江省,  嘉兴市",79.00
//rate.taobao.com/user-rate-UvFcLMCN0MGkWMWTT.htm,毛衣女马海毛毛衣中长款宽松韩版套头学生海马毛毛衣女2017新款冬,http://detail.tmall.com/item.htm?id=563857021792&skuId=3722965643761&user_id=1766047907&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,戚米旗舰店,,"浙江省,  嘉兴市",88.00
//rate.taobao.com/user-rate-UvGQWOFc4vFkYvWTT.htm,2017新款韩版高领条纹加厚毛衣女学生秋冬套头长袖修身打底针织衫,http://detail.tmall.com/item.htm?id=562102519728&skuId=3691114894109&user_id=3409781913&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,裳苑女装旗舰店,,,110.00
//rate.taobao.com/user-rate-UvFcGMm8yMmHbvNTT.htm,2017冬季新款高领加厚针织衫毛衣女韩版宽松撞色拼接毛线打底衫,http://detail.tmall.com/item.htm?id=563049825886&skuId=3544447117600&user_id=1734524150&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,歌慕妮旗舰店,,"江苏省,  苏州市",99.00
//rate.taobao.com/user-rate-UvFN0OmNGOF8bOQTT.htm,2017冬季新款韩版羽绒服女中长款加厚白貉大毛领收腰显瘦外套女潮,http://detail.tmall.com/item.htm?id=562119589422&skuId=3703336511662&user_id=1048039559&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,luomandike旗舰店,,"浙江,  嘉兴",598.00
//rate.taobao.com/user-rate-UvCkGOFQyOFgyMgTT.htm,2017秋冬新款高腰包臀针织半身裙毛线裙子中长款长裙开叉一步裙女,http://detail.tmall.com/item.htm?id=559265592984&skuId=3650902198368&user_id=2939429826&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,初漾旗舰店,"浙江,  嘉兴",,89.00
//rate.taobao.com/user-rate-UvCHGvFvLMCIuvQTT.htm,毛呢格子短裤女秋冬高腰2017新款外穿冬修身显瘦打底呢子短裤靴裤,http://detail.tmall.com/item.htm?id=560407609207&skuId=3668524319783&user_id=2131366271&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,洛思蒂旗舰店,,"浙江,  杭州",69.00
//rate.taobao.com/user-rate-UvCILMmIWvFk0MgTT.htm,LRUD针织衫2017秋装新款女装韩版潮套头毛衣女修身长袖打底衫上衣,http://detail.tmall.com/item.htm?id=538809400352&skuId=3461953157776&user_id=2264201946&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,lrud旗舰店,,"广东,  广州",69.00
//rate.taobao.com/user-rate-UvGHLvFv0MFkWONTT.htm,毛线针织阔腿裤女秋冬2017新款加厚宽松九分高腰显瘦直筒长裤子潮,http://detail.tmall.com/item.htm?id=562130817694&skuId=3694692011313&user_id=3161345908&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,依辰美旗舰店,,,79.00
//rate.taobao.com/user-rate-UvCNYOFxYvGI0vNTT.htm,夺魁羽绒服女中长款2017新款韩版潮过膝修身大码妈妈冬大毛领外套,http://detail.tmall.com/item.htm?id=563251158683&skuId=3545509868050&user_id=2019613240&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,夺魁旗舰店,,"浙江,  嘉兴",298.00
//rate.taobao.com/user-rate-UvGHbOFQyMGx0vgTT.htm,高腰a字阔腿毛呢短裤女秋冬季2017新款显瘦呢子打底外穿靴裤宽松,http://detail.tmall.com/item.htm?id=557805917786&skuId=3550960264087&user_id=3159427642&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,多侈旗舰店,,,69.00
